text,label,split
"This is a FUNNY film. It has all the usual Disney components (music, great range of characters, story, appeal), entwined with superb animation and the excellent voice talents of less well known actors as those in say ""Antz"" and ""Price of Egypt"". The characters work really well, and have a strong appeal, and the humour is aimed at a wide level which overcomes generational barriers. The movie is also presented in superb cinemascope format, which adds to the cinema experience. Call me crazy, but I have seen the film three times, and I intend on taking more friends to see it this weekend. Many skeptics have seen this film on my recommendation and not been disappointed. I work in a multiplex, and I can honestly say that no-one has ever walked out of this movie without a sense of satisfaction. See it, and don't be put off because it is animated. You are sure to enjoy this movie, and make sure you stay for the end credits! The bloopers and out-takes at the end are the funniest part of the film, which is packed with laughs throughout.",1,train
"""Hollywood Hotel"" is a fast-moving, exuberant, wonderfully entertaining musical comedy from Warners which is sadly overlooked. It should be remembered if only for providing the official theme song of Tinseltown -- ""Hooray for Hollywood."" The score by Richard Whiting and Johnny Mercer has a number of other gems, however, including the charming ""I'm Like a Fish Out of Water,"" and ""Silhouetted in the Moonlight."" The best musical number is ""Let That Be a Lesson to You,"" in which Dick Powell and company detail the misadventures of people who found themselves ""behind the eight-ball,"" a fate which literally befalls slow-burning Edgar Kennedy at the number's end. The picture celebrates Hollywood glamour and punctures it all at once, as it gets a lot of comic mileage out of pompous and ego-maniacal actors and duplicitous studio executives. The cast includes a gaggle of great character comedians--Allyn Joslyn as a crafty press agent, Ted Healy as Dick Powell's would-be manager, Fritz Feld as an excitable restaurant patron, Glenda Farrell as Mona Marshall's sarcastic Gal Friday, Edgar Kennedy as a put-upon drive-in manager, Mabel Todd as Mona's goofy sister, and Hugh Herbert as her even goofier dad. The ""racist"" element mentioned in another review here is a ten-second bit where Herbert appears in black-face during a pseudo-""Gone With the Wind"" sequence. It's in questionable taste, but it shouldn't prevent you from seeing the other delights in this film, notably the Benny Goodman Quartet (including Teddy Wilson and Lionel Hampton!) in what I believe is the only footage available on this incredible jazz combo. The ""Dark Eyes"" sequence goes on a bit too long and comes in too late, but otherwise ""Hollywood Hotel"" is a gem, well worth your time and certainly a film which should be considered for DVD release.",1,train
"""Wired"" would have to rate as one of the ten worst films I have ever seen. The writing and direction show a stunning lack of imagination and I'm sure that most of the actors still cringe whenever anyone mentions this film. It fails to work either as a tribute to Belushi's unique talent, or as an accurate account of his short life. A pointless mess with no redeeming features.",0,test
"Well I'll start with the good points. The movie was only 86 minutes long, and some of it was so bad it was funny. Now for the low points. My first warning sign came with an actual ""warning"" on the film. When it started the following ""warning"" was displayed: ""The film you are about to see contains graphic and disturbing images. Because contrary to popular belief being killed is neither fun, pretty or romantic."" I should have saved myself the 86 minutes and turned it off then. The first words of the film were: ""I'm at the glue factory."" It was some guy talking on his phone, and he was referring to a nursing home as a glue factory. I don't know why. So the basis of the movie is some kid is obsessed with the Zodiac Killer and starts imitating him. The budget for this film was at least 50 bucks and they must have used the cheapest cameras they could find. The acting was worse than me reading straight from a script. That's what is looked like they were doing. The script was horrible, and the big ""twist"" was that this guy who wrote a biography on the Zodiac Killer was actually the Zodiac Killer. Of course they tried to show this subtly but made it totally obvious within the first 10 minutes. Without any more painful details of the plot, here were some horrible highlights of the movie. They try to make the Zodiac Killer compare himself to an ""army of one"" because soldiers are really just murderers. Then they tried to make an attempt at ""Satanic Worship"" by showing some guys in black hoods in a meeting. The great ""computer hacker"" was able to get this kid's address when someone gave him the kid's name and phone number. For some reason he had to hack into the FBI to get someone address. I'm not sure why he didn't just look it up in the phone book or use whitepages.com. There was also a random allusion to 9/11 for no reason. I also learned that no matter where you get shot, blood will come out of your mouth within seconds. So if you like really bad acting, sub-par scripts, bad camera work and an obvious plot, you'll love Zodiac Killer!",0,train
"Film makeovers of old TV shows seems to be the norm in Hollywood these days, but this disrespectful, toilet humor, do-you-kiss-your-mother-with-that-mouth foul language, rip-off is a blatant middle finger to all Dukes of Hazzard fans both north and south of the Mason-Dixon Line. From the opening sequence of Bo and Luke Duke making a moonshine run for Uncle Jesse (no shine running in the show because it would put the boys back in jail as a parole violation) to the closing sequence of Uncle Jesse smoking weed with the Governor of Georgia (Uncle Jesse was the moral compass despite his previous moonshining ways) this disappointing waste of film is an open faced insult. I can't tell you how many parents I saw get up and remove their children from the theater within the first 15 minutes of the movie when they realized that they had been horribly deceived. The Original Dukes of Hazzard was a family show with basic moral values. The Original Dukes of Hazzard was a kid safe, Hemi powered, show of fun that parents didn't have to worry about teaching their kids George Carlin's seven words. I have read reviews stating that the show and the movie are nothing but racist. Those commits might be correct about the movie. Those commits are ABSOLUTELY incorrect about the show. The show, if anything, was about how to get along and be friends with ANYONE. Hollywood has finally come out in the open about their disdain for those of us, Yankee, Rebel, or otherwise, who still believe in honor, loyalty, trust, family, and doing the right thing even if it is not the popular thing. Hollywood has finally brought to light its belief that those of us in the heartland are stupid, uneducated, beer swilling, foul mouthed, trash that will buy any piece of garbage they are willing to sell. Prove the Hollywood Elitist that they are wrong. DO NOT GO SEE THIS MOVIE. Boycott the sponsors. Fill Warner Bros. email and snail mail boxes with complaints that we don't appreciate them destroying one of the greatest T.V. shows of all time. Save your money and buy the DVD's of the original show, but whatever you do DO NOT GO SEE THIS MOVIE",0,train
"There's something compelling and strangely believable about this episode. From the very beginning, an atmosphere of tension is created by the knowledge that a certain planet is going to explode within a few hours. Kirk, Spock and McCoy have beamed down to evacuate the inhabitants, all of whom seem to have left already for parts unknown, except for an elderly librarian. The librarian's polite but cryptic advice about where all the citizens have gone to is interrupted by a crisis in which all three Enterprise crew members find themselves unexpectedly hurled into different eras of the planet's past. Kirk finds himself in a time period resembling 17th Century England, while Spock and McCoy are stranded in a desolate, frozen waste. The intercutting between the two stories, and the different hazardous situations the men find themselves in is superbly handled, with return to the present an unknown chance, while the minutes are counting down to the planet's explosion. Imaginative writing and fine acting characterize this episode, with a touching performance by Mariette Hartley as a woman exiled to the Ice Age, and Ian Wolfe as the urbane Librarian. Somewhat reminiscent of the classic episode City On The Edge of Forever, this time travel story is a rich and compelling finale to the series, which concluded one episode later. This has to be one of the best of the whole series, especially remarkable given the generally lesser quality of the third season overall.",1,train
"Alex D. Linz replaces Macaulay Culkin as the central figure in the third movie in the Home Alone empire. Four industrial spies acquire a missile guidance system computer chip and smuggle it through an airport inside a remote controlled toy car. Because of baggage confusion, grouchy Mrs. Hess (Marian Seldes) gets the car. She gives it to her neighbor, Alex (Linz), just before the spies turn up. The spies rent a house in order to burglarize each house in the neighborhood until they locate the car. Home alone with the chicken pox, Alex calls 911 each time he spots a theft in progress, but the spies always manage to elude the police while Alex is accused of making prank calls. The spies finally turn their attentions toward Alex, unaware that he has rigged devices to cleverly booby-trap his entire house. Home Alone 3 wasn't horrible, but probably shouldn't have been made, you can't just replace Macauley Culkin, Joe Pesci, or Daniel Stern. Home Alone 3 had some funny parts, but I don't like when characters are changed in a movie series, view at own risk.",0,train
"This may not be the very worst movie Peter Sellers ever did (I think that laurel goes to ""The Prisoner of Zenda"") but it is surely the most depressing. Sellers, especially sans makeup as Nayland Smith, looks like he has just undergone chemotherapy. As Fu Manchu, he looks hardly better and spends most of the film (with the exception of those strangely disturbing scenes where he gets jolted with electrical currents) on the verge of collapsing under the weight of all that makeup. The supporting players also look tired and run down, and Sid Caeser's presence is offensive even without his constant references to ""Chinks!"" (One bright spot: this would be one of the last times a major motion picture would portray Asians so insultingly ... or, for that matter, star a non-Asian as one!). The film seems surprisingly cheap, with soupy photography and drab sets - even the whiz-bang Elvis number at the end looks cut-rate. Only the stunning Helen Mirren and the tall, thin, nervous guy who get his pants wet add any sparks of life to this sad affair. All in all, this film provides an eerie premonition of a great comic's death, and an even eerier documentation of his dying.",0,train
"Engaging, riveting tale of captured US army turncoat who has to prove his innocence to avoid the hangman. Paul Ryker dodges friendly fire in a seemingly doomed attempt to convince a military court that he was actually a US spy on a secret mission in Korea. In the vein of classic courtroom dramas, ""Sergeant Ryker"" is an extremely well crafted mystery, ably guided by an outstanding cast, director Kulik's constant momentum, and effective plot twists and turns. This film was originally made as a television movie in 1964, and subsequently beefed up for this revision with the presence of many ""name"" actors, and some action sequences. Dillman, reprising his role, is spot-on as the doubting defence attorney, whose attentions sometimes stray to the personal plight of Ryker's supportive, yet somewhat distant wife, played with aplomb by Vera Miles. Rounding out the frontline is Peter Graves for the prosecution, and Norman Fell and Murray Hamilton in key supporting roles. Marvin's interpretation of the Paul Ryker character is a balanced depiction of a simple but dedicated man whose normally laid back demeanour is challenged by the desperate circumstances in which he's placed. Marvin switches perfectly from resigned indifference, to passionate determination, giving a convincing, often intense performance that is the highlight of this otherwise small-scale drama. It's this performance that should elevate the film to a platform where it occupies a place on the best-ever lists of courtroom dramas. However, despite its apparent obscurity, ""Sergeant Ryker"" still remains a taut and compelling examination, like a book that you just can't put down. Highly recommended.",1,train
"Gillian Holroyd (Kim Novak) is a witch. Secretly, she's attracted to her quite normal neighbor Shep Henderson (James Stewart). She casts a spell on Shep that forces him to dump his fiancé and fall for her. Things are going along quite nicely until Gillian discovers she really cares for this mortal man. She decides to tell him her secret. But how will Shep react when he finds out that he was ""tricked"" into falling in love with Gillian? As far as light-hearted 1950s comedies go, Bell Book and Candle is good, but nothing spectacular. It's an enjoyable enough watch and should appeal to almost anyone who sits down with it. Just don't go into the movie expecting the greatest thing since sliced bread. The movie's cute, funny at times, and touching in the end. Kim Novak and James Stewart do their best and have some real chemistry. Novak (as others have pointed out) looks quite incredible in an understated sort of way. The supporting cast with Jack Lemmon, Hermione Gingold, and Elsa Lanchester is often laugh-out-loud funny and steals a lot of the spotlight from Novak and Stewart. The biggest problem I see is that Bell Book and Candle can't quite decide what kind of movie it wants to be. Is it a screwball comedy? Is it a romantic comedy? Is it a supernatural comedy? Had director Richard Quine stuck with just one approach, the movie might have been even better and more memorable.",1,train
"You know you're in trouble when the film your watching has numerous alternate titles. Generally it means that they tried and retried to hide the turkey in various markets. Such a turkey is The Brain Machine which has seven different titles. Its about some super secret government project that is suppose to be able to use a computer to read people but instead it drives people to kill each other or themselves, or something like that. Its filled with B level TV actors sitting in paneled room with lawn chairs trying to act a script that makes almost no sense. Its a turkey of the untastey kind. Avoid it.",0,train
"To be a Buster Keaton fan is to have your heart broken on a regular basis. Most of us first encounter Keaton in one of the brilliant feature films from his great period of independent production: 'The General', 'The Navigator', 'Sherlock Jnr'. We recognise him as the greatest figure in the entire history of film comedy, and we want to see more of his movies. Here the heartbreak begins. After 'Steamboat Bill Jnr', Keaton's brother-in-law Joseph Schenck pressured him into signing a contract that put Keaton under the control of MGM. Keaton became just one more actor for hire, performing someone else's scripts. Then his alcoholism got worse. After 'Steamboat Bill Jnr', Keaton never again made a truly first-rate film. A couple of sources describe a would-be masterpiece comedy that Keaton claimed he *almost* got to make at MGM: a parody of 'Grand Hotel'. Biographer Tom Dardis has offered convincing evidence that Keaton made up this story. The heartbreak increases because, among the many years of Keaton's long steady decline, he just occasionally came up with a good film ... such as his short comedy 'Grand Slam Opera'. I continue to search for the lost footage of Keaton's dramatic scene with Spencer Tracy in 'It's a Mad Mad World': a sequence in which embittered cop Tracy telephones an old retired crook (Keaton) and tries to recruit his assistance in stealing Smiler Grogan's cash. That footage is almost certainly gone forever, but I keep looking. 'Speak Easily', alas, is one of Keaton's films from the beginning of his decline. MGM were trying to build up Jimmy Durante (who, coincidentally, played Smiler Grogan three decades later) as a new comedy star. Unfortunately, MGM tried to build up Durante by teaming him with Keaton, whose style of comedy was simply incompatible with Durante's. (I'm a fan of both.) Throughout his career, Durante was a merciless scene-stealer: commendably, he knew that he was being built up at Keaton's expense, and Keaton was the only co-star whom Durante never attempted to upstage. Keaton was often cast as the victim of extremely cruel machinations. In 'Speak Easily', he plays a didactic and humourless Midwestern college professor named Post (because he's as wooden as one) who receives a letter informing him that he's inherited $750,000, which he must travel to New York City to claim. Does he make a 'phone call to verify this? Does he even check the postmark? No; he takes his life's savings out of the bank and rushes to New York. As soon as he's gone, Post's manservant confesses that he wrote the (fake) letter to jostle Professor Post out of his rut! Post, who thinks he's a 3/4-millionaire, crosses paths with Jimmy Dodge (Durante), who's trying to produce a musical revue but hasn't any money. The characters which these two brilliant comedians are playing onscreen simply fail to intermesh. Keaton is playing one of those eggheads (like Mister Logic in 'Viz') who intellectualises everything. Durante plays one of those annoying hepcats who is incapable of making any straightforward statement because the script requires him always to speak in slang. There's a painfully unfunny dialogue scene in which Durante is trying to talk to Keaton about money, but - instead of coming straight out with it - Durante has to use increasingly contrived slang terms like 'kale', 'cartwheels' and so forth ... while Keaton of course has no idea what Durante's on about. I'll give Keaton credit: his own dry and dusty prairie voice, his flat Kansas accent, is absolutely perfect for the character he's playing here. Sidney Toler, looking much leaner and more handsome here than he would be just a year later, is impressive as the excitable director of the revue bankrolled (on tick) by Professor Post. Henry Armetta, whom I've never found funny, is even less funny than usual here, offering a running gag with a stupid payoff. Thelma Todd impressed me here, in a more villainous version of the role she played in 'Horse Feathers' (a much funnier movie). Edward Brophy, one of my favourite character actors, is wasted. Part of the problem with 'Speak Easily' is that supporting characters behave in completely inappropriate ways. Keaton's lawyer shows up at Durante's theatre with an urgent message for Keaton ... but he isn't there, so the lawyer proceeds to divulge Keaton's personal business to the first total stranger he meets. (Fire that lawyer, Buster!) In another scene, Professor Post - the guy who's perceived as bankrolling this musical - blunders into the chorus girls' changing room, and all the chorus girls immediately squeal and cover themselves. I know for a fact that *modern* chorus girls would never react this way, and I seriously doubt that chorus girls in 1932 behaved that way either ... certainly not in response to the 'angel' controlling their show's pursestrings. SPOILERS COMING. About half an hour into the unfunny 'Speak Easily', the great Jimmy Durante seats himself at the piano, grins into the camera, and does that distinctive little shake of his head as he starts to play a tune. This is the moment when I thought that, at long last, this movie was finally going to settle down to its purpose of entertaining us. Alas, no. Most annoying of all is the ending of this film, which uses the single most hackneyed and implausible cliche in all of comedy: the one in which an utterly incompetent dimwit becomes a star comedian through his own ineptitude. (Keaton would be forced to replay this cliche in a 1955 episode of 'Screen Directors Playhouse'; Chaplin had already used it in 'The Circus'.) I very nearly wept - in anger and sorrow - at the wasted opportunities in 'Speak Easily'. Mostly out of respect for the work that Keaton, Durante, Toler, Brophy and Miss Todd have done elsewhere, I'll rate this movie 2 points out of 10.",0,train
"Whoa boy. Ever wanted to watch a documentary about a megalomaniacal jerk ruining his own life and alienating everyone around him? Well they exist, in many forms. But have you ever wanted to watch said documentary about one who didn't ultimately succeed in doing anything despite everyone's praises about how much of an artistic ""genius"" he is? Well you could probably just grab a camera and find someone like that in any local scene (I know they're everywhere and I don't even follow the local scene), or you could save yourself the trouble by spending money watching this tripe. The premise is good and, honestly, it's not as if the filmmakers knew precisely where it was going considering that's one of the difficulties of doing a documentary. We are made to follow two bands, The Brian Jamestown Massacre, lead by Anton, and The Dandy Warhols, lead by Courtney. I've heard of The Dandy Warhols before watching this movie... not so the Brian Jamestown Massacre. Why? Well from this documentary's perspective, because The Brian Jamestown Massacre's intergroup dysfunction refused them the ability to really make it in the music industry. However, instead of this becoming an analysis of the two separate bands and how one was able to succeed, the focus becomes much more on Anton and his insanity. Because, see, Anton is a ""genius."" Because he plays rock music. He really ""understands the evolution of music""... because he plays rock music with a lot of different instruments. His music is considered ""post-modern retro but the future""... because it's rock music. He wants to bring out a ""revolution""... through rock music. Okay so let's face it... twenty minutes in and this is one of the stupidest kids I'd care to watch a documentary about. The documentary itself doesn't really lend itself to showcasing any of Anton's talent, because in the nature of editing down 2000 hours of material into a quarter short of two hours we don't really have the time to focus on that. So instead we watch Anton, ""the genius"", the socio-maniacal loser, be a jerk for the two hours and are just told to understand that he made really great music. Whether he did or not I won't know, because its not like the documentary had enough time to prove it. What I do know is that then we're left with a story about some self-centered obnoxious twerp running around the country calling himself a God of music and doing nothing to back it up. Why even bother watching that? People like Anton don't deserve the attention they seek, the hope and admiration of all those different people, and especially a post-failure paean to lost potential. This movie plays like a two-hour rough-cut VH1 special for a reason: he goes on and on about the music, but it's all about the image and the attention. Look at the guy, look at how he dresses, look at how he acts, look at how he tries to create controversy because he can't afford marketing. Honestly the only interesting character in this film is Joel, and that's because of anyone in this documentary, Joel is the only person who seems to have any fun. Maybe it's because he's the tambourine man. The rest of them are all ""rock stars""! They deserve our attention, and admiration, and interest, and engagements! They are out there to ""save rock and roll."" Do you remember when The White Stripes were supposed to ""save rock and roll""? Yeah, that was because of Anton, and it's ""selfish of them not to mention me (Anton) as an inspiration."" What a load. People like Anton are best left forgotten. This documentary explains why mainstream music is so dull--because music execs have to deal with people like Anton for a living and ultimately can only really throw their support behind someone safe and passionless. Thanks a lot, Anton. Your antics ruined music for EVERYONE you touched, whatever the opinion to the contrary is. And if people ""in the know"" about Anton disagree and he really was a genius, it still shows how bad this documentary is that it cuts it down that way. --PolarisDiB",0,train
"Somewhere, on this site, someone wrote that to get the best version of the works of Jane Austen, one should simply read them. I agree with that. However, we love adaptations of great literature and the current writers' strike brings to mind that without good writers, it's hard for actors to bring their roles to life. The current version of Jane Austen's PERSUASION shows us what happens when you don't have a good foundation in a well-written adaptation. This version does not compare to the 1995 version with Amanda Root and Ciaran Hinds, which was well acted and kept the essence of the era and the constraints on the characters (with the exception of the bizarre parade & kissing in the street scene in Bath). The 2007 version shows a twitty Anne who seems angst-ridden. The other characters were not very developed which is a crime, considering how Austen could paint such wonderful characters with some carefully chosen understatements. The sequence of events that made sense in the novel were completely tossed about, and Mrs. Smith, Anne's bedridden and impoverished schoolmate is walking around in Bath - - twittering away, as many of the characters seemed to do. The strength of character and the intelligence of Captain Wentworth, which caused Anne to love him in the first place, didn't seem to be written into the Rupert Penry-Jones' Wentworth. Ciaran Hinds had more substance and was able to convey so much more with a look, than P-J was able to do with his poses. All in all, the 2007 version was a disappointment. It seemed to reduce the novel into a hand- wringing, costumed melodrama of debatable worth. If they wanted to bring our modern emotional extravagances into Austen's work, they should have done what they do with adaptations of Shakespeare: adapt it to the present. At least ""Bride & Prejudice"" was taken out of the historical & locational settings and was fun to watch, as was ""Clueless"". This wasn't PERSUASION, but they didn't know what else to call it.",0,train
